X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,
X,E,_,_,_,_,_,_,O,_,_,_,_,_,_,E,X,,,
X,_,X,U,X,_,X,_,X,_,X,_,X,U,X,_,X,,,
X,_,U,E,_,_,_,_,_,_,_,_,_,E,U,_,X,,,
X,_,X,_,X,U,X,_,X,_,X,U,X,_,X,_,X,,,
X,_,_,_,U,E,_,_,_,_,_,E,U,_,_,_,X,,,
X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,,,
X,_,_,_,U,_,_,_,E,_,_,_,U,_,_,_,X,,,
X,_,X,_,X,_,X,U,X,U,X,_,X,_,X,_,X,,,
X,F,U,_,_,_,_,_,B,_,_,_,_,_,U,F,X,,,
X,_,X,_,X,_,X,U,X,U,X,_,X,_,X,_,X,,,
X,_,_,_,U,_,_,_,E,_,_,_,U,_,_,_,X,,,
X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,,,
X,_,_,_,U,E,_,_,_,_,_,E,U,_,_,_,X,,,
X,_,X,_,X,U,X,_,X,_,X,U,X,_,X,_,X,,,
X,_,U,E,_,_,_,_,_,_,_,_,_,E,U,_,X,,,
X,_,X,U,X,_,X,_,X,_,X,_,X,U,X,_,X,,,
X,E,_,_,_,_,_,_,O,_,_,_,_,_,_,E,X,,,
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
