X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
X,_,_,U,E,_,_,_,U,_,_,_,E,U,_,_,X,,,,,,,,
X,_,X,_,X,U,X,U,X,U,X,U,X,_,X,_,X,,,,,,,,
X,U,_,_,_,_,_,_,_,_,_,_,_,_,_,U,X,,,,,,,,
X,E,X,U,X,U,X,_,X,_,X,U,X,U,X,E,X,,,,,,,,
X,_,U,E,_,_,_,_,_,_,_,_,_,E,U,_,X,,,,,,,,
X,_,X,U,X,U,X,_,X,_,X,U,X,U,X,_,X,,,,,,,,
X,_,U,E,_,_,_,_,_,_,_,_,_,E,U,_,X,,,,,,,,
X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,,,,,,,,
X,U,U,_,_,_,U,_,_,_,U,_,_,_,U,U,X,,,,,,,,
X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,_,X,,,,,,,,
X,_,U,E,_,_,_,_,_,_,_,_,_,E,U,_,X,,,,,,,,
X,_,X,U,X,U,X,_,X,_,X,U,X,U,X,_,X,,,,,,,,
X,_,U,E,_,_,_,_,_,_,_,_,_,E,U,_,X,,,,,,,,
X,E,X,U,X,U,X,_,X,_,X,U,X,U,X,E,X,,,,,,,,
X,U,U,_,_,_,_,E,_,E,_,_,_,_,_,U,X,,,,,,,,
X,_,X,_,X,U,X,U,X,U,X,U,X,_,X,_,X,,,,,,,,
X,_,_,U,E,_,_,_,U,_,_,_,E,U,_,_,X,,,,,,,,
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
